Platform,EngagementRate,FollowersGrowth,AvgDailyReach,Impressions,Clicks,ProfileVisits,Followers,ContentType,Likes,Comments,Shares,Sentiment
LinkedIn,10.87,1494,52732,55886,6465,16950,169266,Story,8372,1690,1333,Negative
YouTube,11.16,2633,13311,104355,39388,17668,185779,Post,6446,752,857,Positive
LinkedIn,9.39,2247,10747,124855,389,19218,167845,Story,1949,1595,1268,Negative
Facebook,4.87,846,38740,88313,10827,8892,175073,Reel,7563,569,898,Negative
YouTube,8.02,1678,56555,18159,45174,8326,81077,Reel,1635,1900,1412,Negative
Instagram,8.66,1329,48757,10692,45958,6973,197769,Post,1045,274,816,Positive
YouTube,9.06,1475,9016,56591,24476,23347,25300,Post,928,1081,792,Negative
Facebook,6.75,579,47976,39044,49416,16316,41774,Reel,5513,1157,648,Negative
LinkedIn,11.02,2840,41159,14986,12866,5992,135633,Story,6234,1056,135,Positive
YouTube,8.1,702,43222,78373,14239,25480,195407,Post,8204,1575,961,Positive
Facebook,12.27,2890,25412,99806,7110,12785,91982,Story,4538,211,1039,Negative
Instagram,8.01,1063,59942,123096,41723,21600,111687,Article,1807,489,1431,Positive
Facebook,8.82,740,41827,187892,16398,10014,94426,Post,5965,582,682,Positive
Instagram,9.57,2893,37467,96259,46899,3727,26939,Post,5500,1668,1372,Positive
LinkedIn,11.75,1608,9306,193445,6976,27351,128948,Reel,9524,1387,710,Negative
LinkedIn,7.84,1457,8663,166838,8194,28121,62087,Article,1545,1261,1137,Negative
Facebook,6.53,1491,52417,155736,1836,20180,94264,Story,4787,224,855,Positive
YouTube,11.77,1861,29556,51859,38759,26409,195806,Article,3560,207,1208,Positive
Facebook,10.33,2527,48772,184155,40745,297,90045,Story,6337,613,1225,Negative
LinkedIn,5.99,1994,57811,134883,47211,6646,125249,Story,8388,1176,864,Positive
YouTube,12.02,2159,13759,101689,11311,4836,133874,Article,8170,477,151,Positive
Instagram,10.07,462,54843,121975,31265,25299,108512,Article,2099,901,1328,Negative
YouTube,8.97,1383,15158,175088,7600,19654,174714,Article,2305,1159,404,Negative
Instagram,10.74,827,20874,117336,32911,5639,185423,Article,8495,1255,1136,Negative
Facebook,9.81,2084,10961,179047,21557,20917,78505,Post,1006,1709,161,Negative
Facebook,8.45,1015,11987,59871,22599,13546,87416,Article,4605,959,470,Positive
Instagram,6.45,2285,55333,135508,8954,10777,137967,Story,275,1305,798,Positive
YouTube,9.85,1704,37124,94179,40964,9107,46714,Article,4692,1220,1073,Negative
Facebook,12.46,2405,51484,83989,36412,10857,179274,Article,1110,284,1373,Positive
